MSN,YYYY,MM,Value,Column_Order,Description,Unit
FFTCBUS,1992,4,5.94784,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1992,5,5.75883,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1992,6,5.675539,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1992,7,6.076354,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1992,8,5.915606,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1992,9,5.682676,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1992,10,5.908912,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1992,11,6.040422,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1992,12,6.881807,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1992,13,73.338389,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,1,6.714885,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,2,6.395945,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,3,6.771593,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,4,5.917162,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,5,5.576916,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,6,5.780633,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,7,6.214218,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,8,6.23037,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,9,5.817883,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,10,6.036419,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,11,6.294266,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,12,6.929841,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1993,13,74.678844,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1994,1,7.431876,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1994,2,6.733204,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1994,3,6.605446,4,Total Fossil Fuels Consumption,Quadrillion Btu
